1736342840.297518494	Controller Area Network, Ext. ID: 188 (0x000000bc), Length: 8	000011fe51ff0023
1736342840.297530544	Controller Area Network, Ext. ID: 301 (0x0000012d), Length: 8	7fff7fff7fffffaf
1736342840.297542224	Controller Area Network, Ext. ID: 302 (0x0000012e), Length: 7	7fff7fff7fffb0
1736342840.297553764	Controller Area Network, Ext. ID: 303 (0x0000012f), Length: 8	ff7fff7fff7fffb1
1736342840.297565905	Controller Area Network, Ext. ID: 63 (0x0000003f), Length: 6	4702007e000c
1736342840.297577665	Controller Area Network, Ext. ID: 293 (0x00000125), Length: 7	f000000000001d
1736342840.297589375	Controller Area Network, Ext. ID: 1179 (0x0000049b), Length: 8	00a01d0000080000
1736342840.297600965	Controller Area Network, Ext. ID: 166 (0x000000a6), Length: 8	00000040000000ee
1736342840.297612816	Controller Area Network, Ext. ID: 55 (0x00000037), Length: 7	00005400000698
1736342840.297624596	Controller Area Network, Ext. ID: 50 (0x00000032), Length: 8	000000000000003a
1736342840.297636226	Controller Area Network, Ext. ID: 840 (0x00000348), Length: 8	00020000002c0485
1736342840.297647986	Controller Area Network, Ext. ID: 1595 (0x0000063b), Length: 8	16000eb800000e29
1736342840.297659427	Controller Area Network, Ext. ID: 1063 (0x00000427), Length: 8	0000000000000000
1736342840.297670997	Controller Area Network, Ext. ID: 466 (0x000001d2), Length: 8	990402aa028800ae
1736342840.297682467	Controller Area Network, Ext. ID: 580 (0x00000244), Length: 8	110000000000005f
1736342840.297694327	Controller Area Network, Ext. ID: 1156 (0x00000484), Length: 8	1cab000c90541c63
1736342840.297705898	Controller Area Network, Ext. ID: 295 (0x00000127), Length: 8	00100008000161aa
1736342840.297717558	Controller Area Network, Ext. ID: 183 (0x000000b7), Length: 8	0000000000000000
1736342840.297729008	Controller Area Network, Ext. ID: 467 (0x000001d3), Length: 8	0028000000000004
1736342840.297740568	Controller Area Network, Ext. ID: 813 (0x0000032d), Length: 8	00511f4c00000000
1736342840.297752199	Controller Area Network, Ext. ID: 63 (0x0000003f), Length: 6	4702007e000c
1736342840.297764409	Controller Area Network, Ext. ID: 164 (0x000000a4), Length: 8	40000000000000ec
1736342840.297776549	Controller Area Network, Ext. ID: 188 (0x000000bc), Length: 8	000011fe51ff0023
1736342840.297788159	Controller Area Network, Ext. ID: 50 (0x00000032), Length: 8	000000000000003a
1736342840.297799560	Controller Area Network, Ext. ID: 55 (0x00000037), Length: 7	00005400000698
1736342840.297811270	Controller Area Network, Ext. ID: 581 (0x00000245), Length: 5	000000004c
1736342840.297823050	Controller Area Network, Ext. ID: 975 (0x000003cf), Length: 5	10001b080a
1736342840.297835471	Controller Area Network, Ext. ID: 180 (0x000000b4), Length: 8	00000000000000bc
1736342840.297846971	Controller Area Network, Ext. ID: 566 (0x00000236), Length: 5	27ff030066
1736342840.297858761	Controller Area Network, Ext. ID: 298 (0x0000012a), Length: 7	00000000000032
1736342840.297870271	Controller Area Network, Ext. ID: 166 (0x000000a6), Length: 8	00000040000000ee
1736342840.297882052	Controller Area Network, Ext. ID: 296 (0x00000128), Length: 8	0000100000000041
1736342840.297893992	Controller Area Network, Ext. ID: 583 (0x00000247), Length: 7	06008000000000
1736342840.297905452	Controller Area Network, Ext. ID: 928 (0x000003a0), Length: 8	0068000000000030
1736342840.297917012	Controller Area Network, Ext. ID: 301 (0x0000012d), Length: 8	7fff7fff7fffffaf
1736342840.297928563	Controller Area Network, Ext. ID: 302 (0x0000012e), Length: 7	7fff7fff7fffb0
1736342840.297940113	Controller Area Network, Ext. ID: 303 (0x0000012f), Length: 8	ff7fff7fff7fffb1
1736342840.297951923	Controller Area Network, Ext. ID: 63 (0x0000003f), Length: 6	4702007e000c
1736342840.297963763	Controller Area Network, Ext. ID: 293 (0x00000125), Length: 7	f000000000001d
1736342840.297975314	Controller Area Network, Ext. ID: 183 (0x000000b7), Length: 8	0000000000000000
1736342840.297986894	Controller Area Network, Ext. ID: 50 (0x00000032), Length: 8	000000000000003a
1736342840.297998894	Controller Area Network, Ext. ID: 55 (0x00000037), Length: 7	00005400000698
1736342840.298010574	Controller Area Network, Ext. ID: 816 (0x00000330), Length: 8	0000000040000100
1736342840.298022065	Controller Area Network, Ext. ID: 295 (0x00000127), Length: 8	00100008000161aa
